,,WTS-28,WP12-28,,,,Float,,,,,Cond-3,,,
Date,"Time, AST","TempC, 30cm","TempC, 325cm","Pressure Barom., mbar","Sensor Depth, meters",,Date,"Time, AST",TempC,RH%,,Date,"Time, GMT-05:00","Full Range, ?S/cm","Temp, °C"
8/16/2014,13:00:00,,,,,,8/16/2014,13:00:00,,,,8/17/2014,0:00:00,8.98,6.96
8/16/2014,14:00:00,,,,,,8/16/2014,14:00:00,6.331,89.998,,8/17/2014,12:00:00,8.97,7.15
8/16/2014,15:00:00,,,,,,8/16/2014,15:00:00,6.458,90.438,,8/18/2014,0:00:00,9.35,8.17
8/16/2014,16:00:00,,,,,,8/16/2014,16:00:00,7.519,87.281,,8/18/2014,12:00:00,10.1,9.33
8/16/2014,17:00:00,6.153,6.268,997.95,2.48,,8/16/2014,17:00:00,6.661,95.001,,8/19/2014,0:00:00,10.1,9.22
8/16/2014,18:00:00,6.128,6.166,997.55,2.484,,8/16/2014,18:00:00,7.87,95.726,,8/19/2014,12:00:00,10.11,9.17
8/16/2014,19:00:00,6.331,6.37,997.25,2.487,,8/16/2014,19:00:00,8.444,95.63,,8/20/2014,0:00:00,10.1,9.6
8/16/2014,20:00:00,6.636,6.674,997.15,2.489,,8/16/2014,20:00:00,8.717,95.428,,8/20/2014,12:00:00,10.1,9.71
8/16/2014,21:00:00,6.661,6.674,997.25,2.486,,8/16/2014,21:00:00,7.87,95.825,,8/21/2014,0:00:00,10.47,10.59
8/16/2014,22:00:00,6.382,6.471,997.15,2.487,,8/16/2014,22:00:00,7.569,96.59,,8/21/2014,12:00:00,10.86,10.56
8/16/2014,23:00:00,6.433,6.573,997.15,2.489,,8/16/2014,23:00:00,6.204,97.792,,8/22/2014,0:00:00,10.85,10.81
8/17/2014,0:00:00,6.433,6.573,997.15,2.489,,8/17/2014,0:00:00,6.763,97.947,,8/22/2014,12:00:00,10.47,10.73
8/17/2014,1:00:00,6.484,6.573,997.25,2.489,,8/17/2014,1:00:00,7.393,98.049,,8/23/2014,0:00:00,10.84,11.67
8/17/2014,2:00:00,6.535,6.573,997.25,2.488,,8/17/2014,2:00:00,7.544,98.361,,8/23/2014,12:00:00,10.85,11.19
8/17/2014,3:00:00,6.509,6.573,997.25,2.489,,8/17/2014,3:00:00,7.469,98.733,,8/24/2014,0:00:00,10.85,10.8
8/17/2014,4:00:00,6.458,6.573,997.45,2.491,,8/17/2014,4:00:00,7.494,99.034,,8/24/2014,12:00:00,10.49,9.61
8/17/2014,5:00:00,6.458,6.573,997.55,2.488,,8/17/2014,5:00:00,6.611,99.225,,8/25/2014,0:00:00,10.1,9.37
8/17/2014,6:00:00,6.433,6.573,997.65,2.487,,8/17/2014,6:00:00,6.813,99.38,,8/25/2014,12:00:00,10.13,7.8
8/17/2014,7:00:00,6.433,6.573,997.65,2.489,,8/17/2014,7:00:00,7.268,99.411,,8/26/2014,0:00:00,10.12,8.19
8/17/2014,8:00:00,6.458,6.573,997.65,2.487,,8/17/2014,8:00:00,8.17,98.831,,8/26/2014,12:00:00,10.14,7.14
8/17/2014,9:00:00,6.535,6.573,997.45,2.489,,8/17/2014,9:00:00,8.817,98.691,,8/27/2014,0:00:00,10.13,7.76
8/17/2014,10:00:00,6.712,6.674,997.45,2.489,,8/17/2014,10:00:00,9.262,97.6,,8/27/2014,12:00:00,10.13,7.58
8/17/2014,11:00:00,6.965,6.674,997.65,2.487,,8/17/2014,11:00:00,11.419,95.366,,8/28/2014,0:00:00,10.12,8.51
8/17/2014,12:00:00,7.393,6.775,997.65,2.489,,8/17/2014,12:00:00,11.637,94.507,,8/28/2014,12:00:00,10.12,7.85
8/17/2014,13:00:00,7.594,6.775,997.55,2.49,,8/17/2014,13:00:00,12.509,91.796,,8/29/2014,0:00:00,10.13,7.72
8/17/2014,14:00:00,7.82,6.877,997.45,2.493,,8/17/2014,14:00:00,12.122,86.471,,8/29/2014,12:00:00,9.75,6.73
8/17/2014,15:00:00,8.195,6.978,997.45,2.491,,8/17/2014,15:00:00,14.122,79.803,,8/30/2014,0:00:00,10.14,7.14
8/17/2014,16:00:00,8.394,6.978,997.55,2.492,,8/17/2014,16:00:00,14.314,76.426,,8/30/2014,12:00:00,9.38,5.95
8/17/2014,17:00:00,8.469,6.978,997.65,2.491,,8/17/2014,17:00:00,14.026,76.869,,8/31/2014,0:00:00,9.38,5.83
8/17/2014,18:00:00,8.469,7.079,997.55,2.493,,8/17/2014,18:00:00,13.858,77.809,,8/31/2014,12:00:00,9,5.09
8/17/2014,19:00:00,8.295,7.079,997.75,2.491,,8/17/2014,19:00:00,13.209,80.703,,9/1/2014,0:00:00,9,5.22
8/17/2014,20:00:00,8.07,7.179,998.25,2.491,,8/17/2014,20:00:00,11.71,84.667,,9/1/2014,12:00:00,8.61,4.99
8/17/2014,21:00:00,8.045,7.179,998.65,2.491,,8/17/2014,21:00:00,10.907,88.893,,9/2/2014,0:00:00,8.22,5.06
8/17/2014,22:00:00,7.97,7.179,998.55,2.49,,8/17/2014,22:00:00,9.064,93.932,,9/2/2014,12:00:00,8.23,4.48
8/17/2014,23:00:00,7.92,7.28,999.15,2.487,,8/17/2014,23:00:00,8.02,96.215,,9/3/2014,0:00:00,8.24,4.22
8/18/2014,0:00:00,7.895,7.381,999.45,2.488,,8/18/2014,0:00:00,7.116,97.356,,9/3/2014,12:00:00,8.24,3.59
8/18/2014,1:00:00,7.87,7.381,999.55,2.49,,8/18/2014,1:00:00,6.382,97.989,,9/4/2014,0:00:00,8.24,3.65
8/18/2014,2:00:00,7.92,7.381,1000.15,2.491,,8/18/2014,2:00:00,5.642,98.611,,9/4/2014,12:00:00,8.25,3.17
8/18/2014,3:00:00,7.945,7.582,1000.55,2.489,,8/18/2014,3:00:00,5.076,99.034,,9/5/2014,0:00:00,7.85,3.75
8/18/2014,4:00:00,7.945,7.682,1000.95,2.488,,8/18/2014,4:00:00,4.584,99.281,,9/5/2014,12:00:00,8.25,3.1
8/18/2014,5:00:00,7.995,7.782,1001.35,2.493,,8/18/2014,5:00:00,4.636,99.585,,9/6/2014,0:00:00,8.24,3.58
8/18/2014,6:00:00,8.12,7.983,1001.75,2.489,,8/18/2014,6:00:00,4.74,99.711,,9/6/2014,12:00:00,8.25,3.45
8/18/2014,7:00:00,8.245,8.082,1002.15,2.486,,8/18/2014,7:00:00,4.766,99.767,,9/7/2014,0:00:00,8.24,3.78
8/18/2014,8:00:00,8.319,8.182,1002.65,2.49,,8/18/2014,8:00:00,5.334,99.784,,9/7/2014,12:00:00,8.25,3.41
8/18/2014,9:00:00,8.419,8.282,1003.15,2.488,,8/18/2014,9:00:00,6.026,99.74,,9/8/2014,0:00:00,8.62,4.8
8/18/2014,10:00:00,8.494,8.382,1003.75,2.489,,8/18/2014,10:00:00,6.408,99.022,,9/8/2014,12:00:00,9.01,4.44
8/18/2014,11:00:00,8.593,8.481,1004.25,2.491,,8/18/2014,11:00:00,6.509,98.073,,9/9/2014,0:00:00,8.62,4.3
8/18/2014,12:00:00,8.767,8.68,1004.95,2.489,,8/18/2014,12:00:00,6.813,97.912,,9/9/2014,12:00:00,8.62,4.53
8/18/2014,13:00:00,8.668,8.481,1005.25,2.491,,8/18/2014,13:00:00,7.268,96.16,,9/10/2014,0:00:00,8.62,4.22
8/18/2014,14:00:00,8.543,8.382,1005.65,2.492,,8/18/2014,14:00:00,7.795,93.749,,9/10/2014,12:00:00,8.24,3.88
8/18/2014,15:00:00,8.369,8.382,1006.35,2.488,,8/18/2014,15:00:00,7.845,92.549,,9/11/2014,0:00:00,8.63,3.78
8/18/2014,16:00:00,8.419,8.382,1006.55,2.489,,8/18/2014,16:00:00,8.543,90.121,,9/11/2014,12:00:00,8.24,3.72
8/18/2014,17:00:00,8.419,8.382,1006.95,2.487,,8/18/2014,17:00:00,8.469,90.514,,9/12/2014,0:00:00,8.63,3.83
8/18/2014,18:00:00,8.295,8.282,1007.25,2.492,,8/18/2014,18:00:00,8.519,90.577,,9/12/2014,12:00:00,8.63,3.57
8/18/2014,19:00:00,8.245,8.282,1007.75,2.491,,8/18/2014,19:00:00,7.895,92.359,,9/13/2014,0:00:00,9.02,3.58
8/18/2014,20:00:00,8.245,8.182,1008.25,2.489,,8/18/2014,20:00:00,7.895,91.519,,9/13/2014,12:00:00,8.25,3.24
8/18/2014,21:00:00,8.469,8.382,1008.75,2.489,,8/18/2014,21:00:00,7.066,95.26,,9/14/2014,0:00:00,8.25,3
8/18/2014,22:00:00,8.494,8.481,1009.25,2.487,,8/18/2014,22:00:00,6.56,94,,9/14/2014,12:00:00,8.25,2.99
8/18/2014,23:00:00,8.568,8.481,1009.55,2.491,,8/18/2014,23:00:00,6.026,93.833,,9/15/2014,0:00:00,8.64,3.16
8/19/2014,0:00:00,8.668,8.481,1009.85,2.488,,8/19/2014,0:00:00,5.642,94.479,,9/15/2014,12:00:00,8.64,3.23
8/19/2014,1:00:00,8.742,8.481,1010.25,2.491,,8/19/2014,1:00:00,5.385,93.563,,9/16/2014,0:00:00,9.02,3.37
8/19/2014,2:00:00,8.817,8.481,1010.65,2.489,,8/19/2014,2:00:00,5.36,94.751,,9/16/2014,12:00:00,9.02,3.4
8/19/2014,3:00:00,8.866,8.382,1010.95,2.492,,8/19/2014,3:00:00,5.488,95.528,,9/17/2014,0:00:00,9.02,3.57
8/19/2014,4:00:00,8.792,8.68,1011.35,2.487,,8/19/2014,4:00:00,5.437,95.267,,9/17/2014,12:00:00,9.41,3.55
8/19/2014,5:00:00,8.767,8.581,1011.65,2.489,,8/19/2014,5:00:00,5.437,96.254,,9/18/2014,0:00:00,9.41,3.76
8/19/2014,6:00:00,8.717,8.581,1012.05,2.488,,8/19/2014,6:00:00,5.462,96.556,,9/18/2014,12:00:00,9.41,3.83
8/19/2014,7:00:00,8.668,8.581,1012.25,2.489,,8/19/2014,7:00:00,5.282,96.163,,9/19/2014,0:00:00,9.41,3.72
8/19/2014,8:00:00,8.593,8.581,1012.35,2.49,,8/19/2014,8:00:00,5.616,94.869,,9/19/2014,12:00:00,9.03,3.27
8/19/2014,9:00:00,8.618,8.481,1012.75,2.491,,8/19/2014,9:00:00,5.975,92.843,,9/20/2014,0:00:00,8.26,2.37
8/19/2014,10:00:00,8.668,8.481,1013.05,2.491,,8/19/2014,10:00:00,6.535,91.297,,9/20/2014,12:00:00,8.27,1.89
8/19/2014,11:00:00,8.742,8.481,1013.45,2.487,,8/19/2014,11:00:00,7.015,90.095,,9/21/2014,0:00:00,8.27,1.73
8/19/2014,12:00:00,9.238,8.581,1013.55,2.488,,8/19/2014,12:00:00,9.977,81.613,,9/21/2014,12:00:00,8.66,1.63
8/19/2014,13:00:00,9.534,8.68,1013.85,2.488,,8/19/2014,13:00:00,9.163,85.609,,9/22/2014,0:00:00,9.04,1.84
8/19/2014,14:00:00,9.46,8.68,1013.95,2.489,,8/19/2014,14:00:00,9.854,84.129,,9/22/2014,12:00:00,8.27,1.58
8/19/2014,15:00:00,9.46,8.68,1014.05,2.488,,8/19/2014,15:00:00,9.583,84.517,,9/23/2014,0:00:00,9.04,1.89
8/19/2014,16:00:00,9.41,8.68,1014.05,2.488,,8/19/2014,16:00:00,10.638,80.354,,9/23/2014,12:00:00,8.66,1.39
8/19/2014,17:00:00,9.41,8.779,1014.05,2.49,,8/19/2014,17:00:00,10.834,79.717,,9/24/2014,0:00:00,9.05,1.52
8/19/2014,18:00:00,9.361,8.779,1014.15,2.492,,8/19/2014,18:00:00,10.173,81.873,,9/24/2014,12:00:00,8.27,1.22
8/19/2014,19:00:00,9.312,8.779,1014.35,2.489,,8/19/2014,19:00:00,9.977,84.716,,9/25/2014,0:00:00,8.66,1.53
8/19/2014,20:00:00,9.262,8.68,1014.45,2.489,,8/19/2014,20:00:00,9.731,86.561,,9/25/2014,12:00:00,9.05,1.38
8/19/2014,21:00:00,9.163,8.779,1014.65,2.491,,8/19/2014,21:00:00,9.312,88.5,,9/26/2014,0:00:00,9.05,1.55
8/19/2014,22:00:00,9.114,8.879,1015.05,2.49,,8/19/2014,22:00:00,9.089,89.328,,9/26/2014,12:00:00,9.43,1.87
8/19/2014,23:00:00,9.064,8.879,1015.15,2.487,,8/19/2014,23:00:00,8.668,92.304,,9/27/2014,0:00:00,9.05,1.43
8/20/2014,0:00:00,9.04,8.779,1015.25,2.488,,8/20/2014,0:00:00,8.767,91.768,,9/27/2014,12:00:00,9.44,1.53
8/20/2014,1:00:00,9.04,8.879,1015.35,2.49,,8/20/2014,1:00:00,8.568,91.257,,9/28/2014,0:00:00,9.44,1.52
8/20/2014,2:00:00,9.015,8.879,1015.55,2.49,,8/20/2014,2:00:00,8.07,92.759,,9/28/2014,12:00:00,9.44,1.41
8/20/2014,3:00:00,8.99,8.879,1015.85,2.487,,8/20/2014,3:00:00,7.745,93.685,,9/29/2014,0:00:00,9.05,1.41
8/20/2014,4:00:00,8.941,8.879,1016.05,2.487,,8/20/2014,4:00:00,6.712,96.554,,9/29/2014,12:00:00,9.05,1.26
8/20/2014,5:00:00,8.99,8.879,1015.95,2.486,,8/20/2014,5:00:00,7.519,96.576,,9/30/2014,0:00:00,9.44,1.33
8/20/2014,6:00:00,9.015,8.879,1016.05,2.487,,8/20/2014,6:00:00,7.845,95.918,,9/30/2014,12:00:00,9.44,1.21
8/20/2014,7:00:00,9.163,9.077,1016.05,2.487,,8/20/2014,7:00:00,7.645,97.106,,10/1/2014,0:00:00,9.44,1.39
8/20/2014,8:00:00,9.163,9.176,1016.15,2.488,,8/20/2014,8:00:00,7.594,96.075,,10/1/2014,12:00:00,9.83,1.48
8/20/2014,9:00:00,9.089,9.077,1016.35,2.487,,8/20/2014,9:00:00,7.87,95.051,,10/2/2014,0:00:00,9.44,1.41
8/20/2014,10:00:00,9.089,8.978,1016.35,2.489,,8/20/2014,10:00:00,7.92,95.539,,10/2/2014,12:00:00,9.44,1.21
8/20/2014,11:00:00,9.089,8.978,1016.45,2.486,,8/20/2014,11:00:00,8.344,95.203,,10/3/2014,0:00:00,9.84,0.8
8/20/2014,12:00:00,9.163,9.176,1016.45,2.486,,8/20/2014,12:00:00,8.767,94.51,,10/3/2014,12:00:00,9.84,0.84
8/20/2014,13:00:00,9.46,9.275,1016.55,2.487,,8/20/2014,13:00:00,9.089,94.899,,10/4/2014,0:00:00,9.84,0.91
8/20/2014,14:00:00,9.558,9.373,1016.55,2.485,,8/20/2014,14:00:00,9.706,93.644,,10/4/2014,12:00:00,9.45,0.63
8/20/2014,15:00:00,9.756,9.571,1016.35,2.482,,8/20/2014,15:00:00,10.394,91.8,,10/5/2014,0:00:00,9.45,0.94
8/20/2014,16:00:00,9.879,9.669,1016.05,2.484,,8/20/2014,16:00:00,11.127,90.615,,10/5/2014,12:00:00,9.45,0.98
8/20/2014,17:00:00,10.1,9.866,1015.85,2.484,,8/20/2014,17:00:00,11.175,89.743,,10/6/2014,0:00:00,9.45,0.97
8/20/2014,18:00:00,10.247,9.965,1015.65,2.487,,8/20/2014,18:00:00,11.175,89.69,,10/6/2014,12:00:00,9.84,1.01
8/20/2014,19:00:00,10.296,9.768,1015.85,2.486,,8/20/2014,19:00:00,10.663,91.172,,10/7/2014,0:00:00,9.45,1.02
8/20/2014,20:00:00,10.271,9.965,1016.05,2.482,,8/20/2014,20:00:00,10.736,91.165,,10/7/2014,12:00:00,9.44,1.12
8/20/2014,21:00:00,10.345,10.161,1016.15,2.483,,8/20/2014,21:00:00,10.761,91.3,,10/8/2014,0:00:00,9.44,1.19
8/20/2014,22:00:00,10.32,10.161,1016.35,2.486,,8/20/2014,22:00:00,10.516,93.14,,10/8/2014,12:00:00,9.44,1.22
8/20/2014,23:00:00,10.198,10.063,1016.65,2.485,,8/20/2014,23:00:00,9.805,94.659,,10/9/2014,0:00:00,10.22,1.25
8/21/2014,0:00:00,10.124,9.965,1016.65,2.485,,8/21/2014,0:00:00,9.41,95.664,,10/9/2014,12:00:00,9.44,1.28
8/21/2014,1:00:00,10.051,9.866,1016.75,2.484,,8/21/2014,1:00:00,9.163,96.375,,10/10/2014,0:00:00,9.44,1.32
8/21/2014,2:00:00,9.879,9.768,1016.75,2.485,,8/21/2014,2:00:00,9.114,97.286,,10/10/2014,12:00:00,9.05,1.35
8/21/2014,3:00:00,10.051,9.669,1017.05,2.486,,8/21/2014,3:00:00,9.089,97.354,,10/11/2014,0:00:00,9.05,1.38
8/21/2014,4:00:00,10.051,9.571,1017.15,2.485,,8/21/2014,4:00:00,8.866,97.491,,10/11/2014,12:00:00,8.27,1.41
8/21/2014,5:00:00,10.026,9.768,1017.05,2.484,,8/21/2014,5:00:00,8.519,98.04,,10/12/2014,0:00:00,9.05,1.43
8/21/2014,6:00:00,9.977,9.768,1017.25,2.482,,8/21/2014,6:00:00,8.419,98.21,,10/12/2014,12:00:00,9.05,1.46
8/21/2014,7:00:00,9.928,9.768,1017.25,2.484,,8/21/2014,7:00:00,8.519,97.941,,10/13/2014,0:00:00,8.27,1.48
8/21/2014,8:00:00,9.952,9.768,1017.25,2.485,,8/21/2014,8:00:00,8.419,97.517,,10/13/2014,12:00:00,8.27,1.52
8/21/2014,9:00:00,9.977,9.866,1017.45,2.487,,8/21/2014,9:00:00,8.668,96.69,,10/14/2014,0:00:00,8.27,1.53
8/21/2014,10:00:00,9.952,9.768,1017.65,2.488,,8/21/2014,10:00:00,8.543,96.806,,10/14/2014,12:00:00,8.27,1.56
8/21/2014,11:00:00,9.952,9.768,1017.85,2.49,,8/21/2014,11:00:00,8.469,98.175,,10/15/2014,0:00:00,8.27,1.59
8/21/2014,12:00:00,9.977,9.866,1017.95,2.489,,8/21/2014,12:00:00,8.742,97.953,,10/15/2014,12:00:00,8.27,1.6
8/21/2014,13:00:00,10.1,9.866,1017.85,2.493,,8/21/2014,13:00:00,9.829,94.336,,10/16/2014,0:00:00,8.27,1.62
8/21/2014,14:00:00,10.247,9.866,1018.35,2.491,,8/21/2014,14:00:00,9.903,92.726,,10/16/2014,12:00:00,8.66,1.65
8/21/2014,15:00:00,10.271,9.866,1018.45,2.49,,8/21/2014,15:00:00,10.198,95.067,,10/17/2014,0:00:00,8.27,1.67
8/21/2014,16:00:00,10.467,9.866,1018.25,2.494,,8/21/2014,16:00:00,11.613,89.956,,10/17/2014,12:00:00,8.27,1.7
8/21/2014,17:00:00,10.59,9.866,1018.05,2.491,,8/21/2014,17:00:00,12.799,84.759,,10/18/2014,0:00:00,8.27,1.7
8/21/2014,18:00:00,11.005,9.965,1017.85,2.491,,8/21/2014,18:00:00,11.929,90.973,,10/18/2014,12:00:00,8.27,1.73
8/21/2014,19:00:00,10.418,9.965,1017.55,2.494,,8/21/2014,19:00:00,11.297,91.902,,10/19/2014,0:00:00,8.66,1.74
8/21/2014,20:00:00,10.418,9.965,1017.65,2.492,,8/21/2014,20:00:00,11.467,90.649,,10/19/2014,12:00:00,8.27,1.77
8/21/2014,21:00:00,10.32,10.063,1017.85,2.493,,8/21/2014,21:00:00,10.247,93.505,,10/20/2014,0:00:00,8.27,1.79
8/21/2014,22:00:00,10.271,9.965,1017.85,2.495,,8/21/2014,22:00:00,9.46,94.441,,10/20/2014,12:00:00,8.27,1.82
8/21/2014,23:00:00,10.247,9.866,1017.95,2.492,,8/21/2014,23:00:00,9.262,96.152,,10/21/2014,0:00:00,8.27,1.83
8/22/2014,0:00:00,10.247,10.063,1017.85,2.495,,8/22/2014,0:00:00,8.817,98.048,,10/21/2014,12:00:00,8.66,1.86
8/22/2014,1:00:00,10.222,10.063,1017.95,2.49,,8/22/2014,1:00:00,8.618,98.414,,10/22/2014,0:00:00,8.65,1.87
8/22/2014,2:00:00,10.149,10.063,1017.95,2.494,,8/22/2014,2:00:00,8.965,98.683,,10/22/2014,12:00:00,8.27,1.9
8/22/2014,3:00:00,10.124,10.063,1017.85,2.491,,8/22/2014,3:00:00,8.668,98.675,,10/23/2014,0:00:00,8.65,1.9
8/22/2014,4:00:00,10.075,10.063,1017.85,2.491,,8/22/2014,4:00:00,8.02,98.986,,10/23/2014,12:00:00,8.65,1.93
8/22/2014,5:00:00,10.051,9.965,1017.75,2.494,,8/22/2014,5:00:00,7.569,99.202,,10/24/2014,0:00:00,8.65,1.96
8/22/2014,6:00:00,10.051,9.965,1017.75,2.492,,8/22/2014,6:00:00,7.619,99.021,,10/24/2014,12:00:00,8.26,1.97
8/22/2014,7:00:00,10.075,9.965,1017.55,2.493,,8/22/2014,7:00:00,8.394,98.154,,10/25/2014,0:00:00,8.65,1.98
8/22/2014,8:00:00,10.075,9.965,1017.35,2.496,,8/22/2014,8:00:00,8.717,97.847,,10/25/2014,12:00:00,8.65,2.01
8/22/2014,9:00:00,10.051,10.063,1017.15,2.494,,8/22/2014,9:00:00,9.163,97.648,,10/26/2014,0:00:00,8.26,2.03
8/22/2014,10:00:00,10.124,10.063,1017.15,2.494,,8/22/2014,10:00:00,11.637,90.223,,10/26/2014,12:00:00,8.26,2.06
8/22/2014,11:00:00,10.222,10.063,1016.85,2.497,,8/22/2014,11:00:00,12.751,80.821,,10/27/2014,0:00:00,8.65,2.06
8/22/2014,12:00:00,10.173,10.161,1016.85,2.495,,8/22/2014,12:00:00,12.654,79.677,,10/27/2014,12:00:00,8.26,2.08
8/22/2014,13:00:00,10.173,10.161,1016.75,2.493,,8/22/2014,13:00:00,13.016,76.464,,10/28/2014,0:00:00,8.65,2.08
8/22/2014,14:00:00,10.296,10.259,1016.55,2.49,,8/22/2014,14:00:00,13.209,75.219,,10/28/2014,12:00:00,8.65,2.1
8/22/2014,15:00:00,10.467,10.455,1016.35,2.494,,8/22/2014,15:00:00,12.944,76.115,,10/29/2014,0:00:00,8.26,2.13
8/22/2014,16:00:00,10.565,10.553,1016.15,2.494,,8/22/2014,16:00:00,13.377,74.692,,10/29/2014,12:00:00,8.26,2.13
8/22/2014,17:00:00,10.663,10.651,1015.95,2.489,,8/22/2014,17:00:00,12.678,80.886,,10/30/2014,0:00:00,9.04,2.13
8/22/2014,18:00:00,10.712,10.651,1015.85,2.492,,8/22/2014,18:00:00,12.871,79.119,,10/30/2014,12:00:00,8.65,2.14
8/22/2014,19:00:00,10.712,10.651,1015.75,2.49,,8/22/2014,19:00:00,12.968,80.677,,10/31/2014,0:00:00,8.65,2.14
8/22/2014,20:00:00,10.761,10.748,1015.55,2.493,,8/22/2014,20:00:00,12.292,79.845,,10/31/2014,12:00:00,8.26,2.17
8/22/2014,21:00:00,10.81,10.748,1015.85,2.49,,8/22/2014,21:00:00,10.883,91.072,,11/1/2014,0:00:00,9.04,2.17
8/22/2014,22:00:00,10.98,10.748,1016.05,2.492,,8/22/2014,22:00:00,10.761,92.896,,11/1/2014,12:00:00,8.65,2.17
8/22/2014,23:00:00,11.102,10.944,1016.15,2.487,,8/22/2014,23:00:00,10.443,95.411,,11/2/2014,0:00:00,8.65,2.17
8/23/2014,0:00:00,11.078,10.944,1016.05,2.489,,8/23/2014,0:00:00,10.1,95.218,,11/2/2014,12:00:00,8.65,2.18
8/23/2014,1:00:00,11.078,11.041,1015.95,2.488,,8/23/2014,1:00:00,9.78,94.425,,11/3/2014,0:00:00,8.65,2.17
8/23/2014,2:00:00,10.907,10.846,1015.75,2.491,,8/23/2014,2:00:00,9.608,96.896,,11/3/2014,12:00:00,8.65,2.2
8/23/2014,3:00:00,11.2,11.139,1015.65,2.491,,8/23/2014,3:00:00,9.854,96.963,,11/4/2014,0:00:00,8.65,2.21
8/23/2014,4:00:00,10.98,10.944,1015.55,2.49,,8/23/2014,4:00:00,9.805,96.975,,11/4/2014,12:00:00,8.65,2.21
8/23/2014,5:00:00,10.614,10.651,1015.35,2.49,,8/23/2014,5:00:00,9.706,96.623,,11/5/2014,0:00:00,8.65,2.21
8/23/2014,6:00:00,10.761,10.748,1015.15,2.489,,8/23/2014,6:00:00,9.756,96.636,,11/5/2014,12:00:00,9.43,2.22
8/23/2014,7:00:00,10.614,10.651,1014.95,2.489,,8/23/2014,7:00:00,9.854,95.708,,11/6/2014,0:00:00,8.65,2.22
8/23/2014,8:00:00,10.59,10.553,1014.75,2.489,,8/23/2014,8:00:00,10.198,94.814,,11/6/2014,12:00:00,8.65,2.24
8/23/2014,9:00:00,10.516,10.553,1014.45,2.487,,8/23/2014,9:00:00,9.583,98.831,,11/7/2014,0:00:00,8.65,2.25
8/23/2014,10:00:00,10.467,10.553,1014.45,2.492,,8/23/2014,10:00:00,10.026,99.894,,11/7/2014,12:00:00,9.04,2.25
8/23/2014,11:00:00,10.467,10.553,1014.45,2.491,,8/23/2014,11:00:00,10.492,100,,11/8/2014,0:00:00,9.04,2.27
8/23/2014,12:00:00,10.614,10.651,1014.25,2.493,,8/23/2014,12:00:00,10.785,100,,11/8/2014,12:00:00,9.04,2.27
8/23/2014,13:00:00,10.638,10.651,1013.95,2.491,,8/23/2014,13:00:00,11.516,100,,11/9/2014,0:00:00,9.04,2.25
8/23/2014,14:00:00,10.712,10.748,1013.75,2.488,,8/23/2014,14:00:00,12.074,100,,11/9/2014,12:00:00,9.04,2.27
8/23/2014,15:00:00,10.858,10.944,1013.45,2.495,,8/23/2014,15:00:00,11.297,100,,11/10/2014,0:00:00,9.04,2.3
8/23/2014,16:00:00,11.005,10.748,1013.25,2.491,,8/23/2014,16:00:00,10.712,100,,11/10/2014,12:00:00,9.43,2.28
8/23/2014,17:00:00,11.053,10.846,1013.15,2.496,,8/23/2014,17:00:00,10.247,100,,11/11/2014,0:00:00,9.04,2.28
8/23/2014,18:00:00,11.005,10.846,1013.25,2.491,,8/23/2014,18:00:00,8.618,100,,11/11/2014,12:00:00,9.04,2.28
8/23/2014,19:00:00,10.907,10.748,1013.55,2.502,,8/23/2014,19:00:00,7.091,100,,11/12/2014,0:00:00,9.04,2.3
8/23/2014,20:00:00,10.834,10.651,1014.25,2.491,,8/23/2014,20:00:00,6,100,,11/12/2014,12:00:00,9.04,2.32
8/23/2014,21:00:00,10.59,10.455,1014.55,2.49,,8/23/2014,21:00:00,5.616,100,,11/13/2014,0:00:00,9.04,2.31
8/23/2014,22:00:00,10.516,10.357,1014.85,2.492,,8/23/2014,22:00:00,5.154,100,,11/13/2014,12:00:00,9.04,2.3
8/23/2014,23:00:00,10.394,10.259,1015.25,2.491,,8/23/2014,23:00:00,4.869,100,,11/14/2014,0:00:00,9.04,2.31
8/24/2014,0:00:00,10.222,10.161,1015.45,2.49,,8/24/2014,0:00:00,4.194,100,,11/14/2014,12:00:00,9.43,2.32
8/24/2014,1:00:00,10.149,10.063,1015.55,2.491,,8/24/2014,1:00:00,4.089,100,,11/15/2014,0:00:00,9.04,2.31
8/24/2014,2:00:00,10.001,9.965,1015.85,2.491,,8/24/2014,2:00:00,3.459,100,,11/15/2014,12:00:00,9.43,2.3
8/24/2014,3:00:00,9.657,9.768,1015.85,2.491,,8/24/2014,3:00:00,2.877,100,,11/16/2014,0:00:00,9.04,2.31
8/24/2014,4:00:00,9.682,9.669,1015.85,2.491,,8/24/2014,4:00:00,2.61,100,,11/16/2014,12:00:00,9.04,2.34
8/24/2014,5:00:00,9.731,9.669,1015.95,2.49,,8/24/2014,5:00:00,1.859,100,,11/17/2014,0:00:00,9.43,2.34
8/24/2014,6:00:00,9.312,9.472,1015.85,2.493,,8/24/2014,6:00:00,1.371,100,,11/17/2014,12:00:00,9.43,2.32
8/24/2014,7:00:00,9.114,9.275,1015.85,2.494,,8/24/2014,7:00:00,1.886,100,,11/18/2014,0:00:00,9.04,2.32
8/24/2014,8:00:00,9.015,9.176,1015.65,2.491,,8/24/2014,8:00:00,1.643,100,,11/18/2014,12:00:00,9.04,2.34
8/24/2014,9:00:00,8.891,9.077,1015.45,2.491,,8/24/2014,9:00:00,1.805,100,,11/19/2014,0:00:00,9.04,2.34
